Sl.No.	English Word forms	Hindi Dictionary Translation	Definition/Facts/Descrption	Stong’s Number	References	Aligned Words
343	Ezekiel	यहेजकेल	Ezekiel was a prophet of God during the exile period when many Jews were taken to Babylon.  * Ezekiel was a priest living in the kingdom of Judah when he and many other Jews were captured by the Babylonian army. * For over twenty years, he and his wife lived in Babylon near a river, and the Jews came there to hear him speak messages from God. * Among other things, Ezekiel prophesied about the destruction and restoration of Jerusalem and the temple. * He also prophesied about the future kingdom of the Messiah.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   			
344	Ezra	एज्रा	'Ezra was an Israelite priest and expert in Jewish law who recorded the history of the Israelites'' return to Jerusalem from Babylon where Israel had been held captive for 70 years.  * Ezra recorded this part of Israel''s history in the biblical book of Ezra. He may also have written the book of Nehemiah, since these two books had originally been one single book. * When Ezra returned to Jerusalem he re-established the Law, since the Israelites had stopped obeying the Sabbath laws and had intermarried with women who practiced pagan religions. * Ezra also helped rebuild the temple, which had been destroyed by the Babylonians when they captured Jerusalem. * There are two other men named Ezra mentioned in the Old Testament.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'			
345	Gabriel	जिब्राईल	'Gabriel is the name of one of God''s angels. He is mentioned by name several times, in both the Old and New Testaments.  * God sent Gabriel to tell the prophet Daniel the meaning of a vision he had seen. * Another time, while Daniel was praying, the angel Gabriel flew to him and prophesied about what would happen in the future. Daniel described him as a "man." * In the New Testament it is recorded that Gabriel came to Zechariah to prophesy that his aged wife Elizabeth would have a son, John. * Sixth months after that, Gabriel was sent to Mary to tell her that God would miraculously enable her to conceive a child who would be the "Son of God." Gabriel told Mary to name her son "Jesus."   (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G1043	42001019 ,42001026	
346	Gad	गाद	'Gad was one of the sons of Jacob. Jacob was also named Isreal.  * Gad''s family became one of the twelve tribes of Israel. * Another man in the Bible named Gad was a prophet who confronted King David for his sin of taking a census of the Israelite people. * The names of the cities Baalgad and Migdalgad are each two words in the original text and are sometimes written "Baal Gad" and "Migdal Gad."  (Translation suggestions:[How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G1045		
347	Galatia, Galatians	गलातिया, गलातियों	In New Testament times, Galatia was a large Roman province located in the central part of what is now the country of Turkey.  * Part of Galatia bordered the Black Sea, which was to the north. It was also bordered by the provinces of Asia, Bithynia, Cappadocia, Celicia, and Pamphylia. * The apostle Paul wrote a letter to the Christians who lived in the province of Galatia. This letter is the New Testament book called "Galatians." * One reason that Paul wrote his letter to the Galatians was to emphasize again the gospel of salvation by grace, not by works. * The Jewish Christians there were incorrectly teaching the Gentile Christians there that it was necessary for believers to keep certain Jewish laws.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G1053, G1054	46016001 ,46016002 ,60001001 ,60001002 ,55004009 ,55004010 ,44016006 ,44016007 ,44016008 ,48001001	
348	Galilee, Galilean, Galileans	गलील, गलीली, गलीलियों	Galilee was the most northern region of Israel, just north of Samaria. A "Galilean" was a person who lived in Galilee or who lived in Galilee.  * Galilee, Samaria, and Judea were the three main provinces of Israel during New Testament times. * Galilee is bordered on the east by a large lake called the "Sea of Galilee." * Jesus grew up and lived in the town of Nazareth in Galilee. * Most of the miracles and teachings of Jesus took place in the region of Galilee.   	G1056,G1057	44009032 ,44013031 ,43002001 ,43002002 ,43004003 ,42013003 ,41003007 ,40002022 ,40002023 ,40003013 ,40003014 ,40003015	
349	Gath, Gittite, Gittites	गत, गतवासी, गती	Gath was one of the five major cities of the Philistines. It was located north of Ekron and east of Ashdod and Ashkelon.  * The Philistine warrior Goliath was from the city of Gath. * During the time of Samuel, the Philistines stole the ark of the covenant from Israel and took it to their pagan temple at Ashdod. It was then moved to Gath and later to Ekron. But God punished the people of those cities with disease, so they sent it back to Israel again. * When David was escaping from King Saul, he fled to Gath and lived there awhile with his two wives and with six hundred men who were his loyal followers.  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))   			
350	Gaza	गाज़ा	'During Bible times, Gaza was a prosperous Philistine city located on the coast of the Mediterranean Sea, about 38 kilometers south of Ashdod. It was one of the Philistines'' five major cities.  * Because of its location, Gaza was a key seaport where commercial activities took place between many different people groups and nations. * Today, the city of Gaza is still an important seaport in the Gaza Strip, which is a region of land located along the coast of the Mediterranean Sea bordered by Israel on the north and east, and by Egypt on the south. * Gaza was the city that the Philistines took Samson to after they had captured him. * Philip the evangelist was walking along the desert road to Gaza when he met an Ethiopian eunuch.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G1048	44008026	
351	Gerar	गरार	​Gerar was a city and region in the land of Canaan, located southwest of Hebron and northwest of Beersheba.  * King Abimelech was the ruler of Gerar when Abraham and Sarah settled there. * The Philistines dominated the region of Gerar during the time that the Israelites were living in Canaan.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   			
352	Geshur, Geshurites	गशूर, गशूरियों	'During the time of King David, Geshur was a small kingdom located on the east side of the Sea of Galilee between the countries of Israel and Aram.  * King David married Maacah, the daughter of Geshur''s king, and she bore him a son, Absalom. * After murdering his half-brother Amnon, Absalom fled northeast from Jerusalem to Geshur, a distance of about 140 kilometers. He stayed there three years.   '			
353	Gethsemane	गतसमनी	Gethsemane was a garden of olive trees east of Jerusalem beyond the Kidron valley and near the Mount of Olives.  * The garden of Gethsemane was a place where Jesus and his followers would go to be alone and rest, away from the crowds. * It was in Gethsemane that Jesus prayed in deep sorrow, before being arrested there by Jewish leaders.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G1068	41014032 ,40026036	
