Sl.No.	key_word_eng	key_word_hin	word_forms_en	word_forms_hi	strongs_en	strongs_hi	references_en	
36	church	church	church, churches, Church	कलीसिया, कलीसियाओं, कलीसिया	['G1577']	['G1577']	* [1 Corinthians 05:12](rc://en/tn/help/1co/05/12)* [1 Thessalonians 02:14](rc://en/tn/help/1th/02/14)* [1 Timothy 03:05](rc://en/tn/help/1ti/03/05)* [Acts 09:31](rc://en/tn/help/act/09/31)* [Acts 14:23](rc://en/tn/help/act/14/23)* [Acts 15:41](rc://en/tn/help/act/15/41)* [Colossians 04:15](rc://en/tn/help/col/04/15)* [Ephesians 05:23](rc://en/tn/help/eph/05/23)* [Matthew 16:18](rc://en/tn/help/mat/16/18)* [Philippians 04:15](rc://en/tn/help/php/04/15)	46005012. 52002014. 54003005. 44009031. 44014023. 44015041. 51004015. 49005023. 40016018. 50004015. 
37	circumcise	circumcise	circumcise, circumcised, circumcision, uncircumcised, uncircumcision	खतना करना, खतना किया, खतना	['H4135', 'H4139', 'H5243', 'H6188', 'H6189', 'H6190', 'G203', 'G564', 'G1986', 'G4059', 'G4061']	['H4135', 'H4139', 'H5243', 'G203', 'G1986', 'G4059', 'G4061']	* [Genesis 17:11](rc://en/tn/help/gen/17/11)* [Genesis 17:14](rc://en/tn/help/gen/17/14)* [Exodus 12:48](rc://en/tn/help/exo/12/48)* [Leviticus 26:41](rc://en/tn/help/lev/26/41)* [Joshua 05:03](rc://en/tn/help/jos/05/03)* [Judges 15:18](rc://en/tn/help/jdg/15/18)* [2 Samuel 01:20](rc://en/tn/help/2sa/01/20)* [Jeremiah 09:26](rc://en/tn/help/jer/09/26)* [Ezekiel 32:25](rc://en/tn/help/ezk/32/25)* [Acts 10:44-45](rc://en/tn/help/act/10/44)* [Acts 11:03](rc://en/tn/help/act/11/03)* [Acts 15:01](rc://en/tn/help/act/15/01)* [Acts 11:03](rc://en/tn/help/act/11/03)* [Romans 02:27](rc://en/tn/help/rom/02/27)* [Galatians 05:03](rc://en/tn/help/gal/05/03)* [Ephesians 02:11](rc://en/tn/help/eph/02/11)* [Philippians 03:03](rc://en/tn/help/php/03/03)* [Colossians 02:11](rc://en/tn/help/col/02/11)* [Colossians 02:13](rc://en/tn/help/col/02/13)	01017011. 01017014. 02012048. 03026041. 06005003. 07015018. 10001020. 24009026. 26032025. 44010044. 44010045. 44011003. 44015001. 44011003. 45002027. 48005003. 49002011. 50003003. 51002011. 51002013. 
38	clean	clean	clean, cleans, cleaned, cleanse, cleansed, cleansing, wash, washing, washed, washes, unclean	शुद्ध, शुद्ध करेगा, शुद्ध किया, शुद्ध करना, शुद्ध, शुद्ध होने, धुलाई, धुलाई, धोया, धोया	['H1249', 'H1252', 'H1305', 'H2134', 'H2135', 'H2141', 'H2398', 'H2889', 'H2890', 'H2891', 'H2893', 'H2930', 'H2931', 'H2932', 'H3722', 'H5079', 'H5352', 'H5355', 'H5356', 'H6172', 'H6663', 'H7137', 'H8552', 'H8562', 'G167', 'G169', 'G2511', 'G2512', 'G2513', 'G2514', 'G2839', 'G2840']	['H1249', 'H1252', 'H1305', 'H2134', 'H2135', 'H2141', 'H2398', 'H2548', 'H2834', 'H2889', 'H2890', 'H2891', 'H2893', 'H3001', 'H3722', 'H5352', 'H5355', 'H5356', 'H6565', 'H6663', 'H8552', 'H8562', 'G2511', 'G2512', 'G2513', 'G3689']	* [Genesis 07:02](rc://en/tn/help/gen/07/02)* [Genesis 07:08](rc://en/tn/help/gen/07/08)* [Deuteronomy 12:15](rc://en/tn/help/deu/12/15)* [Psalms 051:07](rc://en/tn/help/psa/051/07)* [Proverbs 20:30](rc://en/tn/help/pro/20/30)* [Ezekiel 24:13](rc://en/tn/help/ezk/24/13)* [Matthew 23:27](rc://en/tn/help/mat/23/27)* [Luke 05:13](rc://en/tn/help/luk/05/13)* [Acts 08:07](rc://en/tn/help/act/08/07)* [Acts 10:27-29](rc://en/tn/help/act/10/27)* [Colossians 03:05](rc://en/tn/help/col/03/05)* [1 Thessalonians 04:07](rc://en/tn/help/1th/04/07)* [James 04:08](rc://en/tn/help/jas/04/08)	01007002. 01007008. 05012015. 19051007. 20020030. 26024013. 40023027. 42005013. 44008007. 44010027. 44010028. 44010029. 51003005. 52004007. 59004008. 
39	command	command	command, commands, commanded, commandment, commandments	आज्ञा, आज्ञाएँ, आज्ञा दी, आज्ञा, आज्ञाएं	['H559', 'H560', 'H565', 'H1696', 'H1697', 'H1881', 'H2706', 'H2708', 'H2710', 'H2942', 'H2951', 'H3027', 'H3982', 'H3983', 'H4406', 'H4687', 'H4929', 'H4931', 'H4941', 'H5713', 'H5749', 'H6310', 'H6346', 'H6490', 'H6673', 'H6680', 'H7101', 'H7218', 'H7227', 'H7262', 'H7970', 'H8269', 'G1263', 'G1291', 'G1296', 'G1297', 'G1299', 'G1690', 'G1778', 'G1781', 'G1785', 'G2003', 'G2004', 'G2008', 'G2036', 'G2753', 'G3056', 'G3726', 'G3852', 'G3853', 'G4367', 'G4487', 'G5506']	['H559', 'H560', 'H565', 'H1696', 'H1697', 'H1881', 'H2706', 'H2708', 'H2710', 'H2941', 'H2942', 'H2951', 'H3027', 'H3982', 'H3983', 'H4406', 'H4662', 'H4687', 'H4929', 'H4931', 'H4941', 'H5057', 'H5713', 'H5749', 'H6213', 'H6310', 'H6346', 'H6490', 'H6673', 'H6680', 'H7101', 'H7218', 'H7227', 'H7262', 'H7761', 'H7970', 'H8269', 'G1263', 'G1291', 'G1296', 'G1297', 'G1299', 'G1690', 'G1778', 'G1781', 'G1785', 'G2003', 'G2004', 'G2008', 'G2036', 'G2753', 'G3056', 'G3726', 'G3852', 'G3853', 'G4367', 'G4483', 'G4487', 'G5506']	* [Luke 01:06](rc://en/tn/help/luk/01/06)* [Matthew 01:24](rc://en/tn/help/mat/01/24)* [Matthew 22:38](rc://en/tn/help/mat/22/38)* [Matthew 28:20](rc://en/tn/help/mat/28/20)* [Numbers 01:17-19](rc://en/tn/help/num/01/17)* [Romans 07:7-8](rc://en/tn/help/rom/07/07)	42001006. 40001024. 40022038. 40028020. 04001017. 04001018. 04001019. 45007007. 45007008. 
40	compassion	compassion	compassion, compassionate, deal gently with	तरस, दयालु	['H2550', 'H5150', 'H5164', 'H7349', 'H7355', 'H7356', 'G1653', 'G3356', 'G3627', 'G4697', 'G4834', 'G4835']	['H2550', 'H7349', 'H7355', 'H7356', 'G1653', 'G3356', 'G3627', 'G4697', 'G4834', 'G4835']	* [Daniel 01:8-10](rc://en/tn/help/dan/01/08)* [Hosea 13:14](rc://en/tn/help/hos/13/14)* [James 05:9-11](rc://en/tn/help/jas/05/09)* [Jonah 04:1-3](rc://en/tn/help/jon/04/01)* [Mark 01:41](rc://en/tn/help/mrk/01/41)* [Romans 09:14-16](rc://en/tn/help/rom/09/14)	27001008. 27001009. 27001010. 28013014. 59005009. 59005010. 59005011. 32004001. 32004002. 32004003. 41001041. 45009014. 45009015. 45009016. 
41	condemn	condemn	condemn, condemns, condemned, condemnation, sentence of condemnation, sentenced to death	दोष लगाना, दोषी, निन्दा, दण्ड की आज्ञा	['H7561', 'H8199', 'H8381', 'G843', 'G1349', 'G1935', 'G2607', 'G2613', 'G2631', 'G2632', 'G2633', 'G2917', 'G2919', 'G2920']	['H6064', 'H7034', 'H7561', 'H8199', 'G176', 'G843', 'G2607', 'G2613', 'G2631', 'G2632', 'G2633', 'G2917', 'G2919', 'G2920', 'G5272', 'G6048']	* [1 John 03:20](rc://en/tn/help/1jn/03/20)* [Job 09:29](rc://en/tn/help/job/09/29)* [John 05:24](rc://en/tn/help/jhn/05/24)* [Luke 06:37](rc://en/tn/help/luk/06/37)* [Matthew 12:07](rc://en/tn/help/mat/12/07)* [Proverbs 17:15-16](rc://en/tn/help/pro/17/15)* [Psalms 034:22](rc://en/tn/help/psa/034/22)* [Romans 05:16](rc://en/tn/help/rom/05/16)	62003020. 18009029. 43005024. 42006037. 40012007. 20017015. 20017016. 19034022. 45005016. 
42	confess	confess	confess, confessed, confesses, confession	मान लेगा, मानकर, मान लेगा, अंगीकार	['H3034', 'H8426', 'G1843', 'G3670', 'G3671']	['H3034', 'H8426', 'G1843', 'G3670', 'G3671']	* [1 John 01:8-10](rc://en/tn/help/1jn/01/08)* [2 John 01:7-8](rc://en/tn/help/2jn/01/07)* [James 05:16](rc://en/tn/help/jas/05/16)* [Leviticus 05:5-6](rc://en/tn/help/lev/05/05)* [Matthew 03:4-6](rc://en/tn/help/mat/03/04)* [Nehemiah 01:6-7](rc://en/tn/help/neh/01/06)* [Philippians 02:9-11](rc://en/tn/help/php/02/09)* [Psalms 038:17-18](rc://en/tn/help/psa/038/017)	62001008. 62001009. 62001010. 63001007. 63001008. 59005016. 03005005. 03005006. 40003004. 40003005. 40003006. 16001006. 16001007. 50002009. 50002010. 50002011. 19038017. 19038018. 
43	conscience	conscience	conscience, consciences	विवेक, विवेक	['G4893']	['G4893']	* [1 Timothy 01:19](rc://en/tn/help/1ti/01/19)* [1 Timothy 03:09](rc://en/tn/help/1ti/03/09)* [2 Corinthians 05:11](rc://en/tn/help/2co/05/11)* [2 Timothy 01:03](rc://en/tn/help/2ti/01/03)* [Romans 09:01](rc://en/tn/help/rom/09/01)* [Titus 01:15-16](rc://en/tn/help/tit/01/15)	54001019. 54003009. 47005011. 55001003. 45009001. 56001015. 56001016. 
44	consecrate	consecrate	consecrate, consecrated, consecration	पवित्र करना, पवित्र ठहरेगा, संस्कार	['H3027', 'H4390', 'H4394', 'H5144', 'H5145', 'H6942', 'H6944']	['H2763', 'H3027', 'H4390', 'H4394', 'H5144', 'H5145', 'H6942', 'H6944', 'G1457', 'G5048']	* [1 Timothy 04:3-5](rc://en/tn/help/1ti/04/03)* [2 Chronicles 13:8-9](rc://en/tn/help/2ch/13/08)* [Ezekiel 44:19](rc://en/tn/help/ezk/44/19)	54004003. 54004004. 54004005. 14013008. 14013009. 26044019. 
45	cornerstone	cornerstone	cornerstone, cornerstones	कोने का पत्थर, प्रधान	['H68', 'H6438', 'H7218', 'G204', 'G1137', 'G2776', 'G3037']	['H68', 'H6438', 'H7218', 'G204', 'G1137', 'G2776', 'G3037']	* [Acts 04:11](rc://en/tn/help/act/04/11)* [Ephesians 02:20](rc://en/tn/help/eph/02/20)* [Matthew 21:42](rc://en/tn/help/mat/21/42)* [Psalms 118:22](rc://en/tn/help/psa/118/22)	44004011. 49002020. 40021042. 19118022. 
46	covenant	covenant	covenant, covenants, new covenant, agreed	वाचा, वाचाओं	['H1285', 'H2319', 'G1242', 'G4934']	['H1285', 'H3772', 'G802', 'G1242', 'G4934']	* [Genesis 09:12](rc://en/tn/help/gen/09/12)* [Genesis 17:07](rc://en/tn/help/gen/17/07)* [Genesis 31:44](rc://en/tn/help/gen/31/44)* [Exodus 34:10-11](rc://en/tn/help/exo/34/10)* [Joshua 24:24-26](rc://en/tn/help/jos/24/24)* [2 Samuel 23:5](rc://en/tn/help/2sa/23/5)* [2 Kings 18:11-12](rc://en/tn/help/2ki/18/11)* [Mark 14:24](rc://en/tn/help/mrk/14/24)* [Luke 01:73](rc://en/tn/help/luk/01/73)* [Luke 22:20](rc://en/tn/help/luk/22/20)* [Acts 07:08](rc://en/tn/help/act/07/08)* [1 Corinthians 11:25-26](rc://en/tn/help/1co/11/25)* [2 Corinthians 03:06](rc://en/tn/help/2co/03/06)* [Galatians 03:17-18](rc://en/tn/help/gal/03/17)* [Hebrews 12:24](rc://en/tn/help/heb/12/24)	01009012. 01017007. 01031044. 02034010. 02034011. 06024024. 06024025. 06024026. 12018011. 12018012. 41014024. 42001073. 42022020. 44007008. 46011025. 46011026. 47003006. 48003017. 48003018. 58012024. 
47	covenantfaith	covenantfaith	covenant faithfulness, covenant loyalty, loving kindness, unfailing love, steadfast love	करुणा	['H2617']	['H2617']	* [Ezra 03:11](rc://en/tn/help/ezr/03/11)* [Numbers 14:18](rc://en/tn/help/num/14/18)	15003011. 04014018. 
48	cross	cross	cross	क्रूस	['G4716']	['G4716']	* [1 Corinthians 01:17](rc://en/tn/help/1co/01/17)* [Colossians 02:15](rc://en/tn/help/col/02/15)* [Galatians 06:12](rc://en/tn/help/gal/06/12)* [John 19:18](rc://en/tn/help/jhn/19/18)* [Luke 09:23](rc://en/tn/help/luk/09/23)* [Luke 23:26](rc://en/tn/help/luk/23/26)* [Matthew 10:38](rc://en/tn/help/mat/10/38)* [Philippians 02:08](rc://en/tn/help/php/02/08)	46001017. 51002015. 48006012. 43019018. 42009023. 42023026. 40010038. 50002008. 
49	crucify	crucify	crucify, crucified, nailing to a cross	क्रूस पर चढ़ा, क्रूस पर चढ़ाया	['G388', 'G4362', 'G4717', 'G4957']	['G388', 'G4362', 'G4717', 'G4957']	* [Acts 02:23](rc://en/tn/help/act/02/23)* [Galatians 02:20-21](rc://en/tn/help/gal/02/20)* [Luke 23:20-22](rc://en/tn/help/luk/23/20)* [Luke 23:34](rc://en/tn/help/luk/23/34)* [Matthew 20:17-19](rc://en/tn/help/mat/20/17)* [Matthew 27:23-24](rc://en/tn/help/mat/27/23)	44002023. 48002020. 48002021. 42023020. 42023021. 42023022. 42023034. 40020017. 40020018. 40020019. 40027023. 40027024. 
50	curse	curse	curse, cursed, curses, cursing, speaks evil	श्राप, श्रापित, श्राप दे, कोसता है	['H422', 'H423', 'H779', 'H1288', 'H3994', 'H5344', 'H6895', 'H7043', 'H7045', 'H7621', 'G331', 'G332', 'G685', 'G1944', 'G2551', 'G2652', 'G2653', 'G2671', 'G2672']	['H422', 'H423', 'H779', 'H1288', 'H2763', 'H2764', 'H3994', 'H5344', 'H6895', 'H7043', 'H7045', 'H7621', 'H8381', 'G331', 'G332', 'G685', 'G1944', 'G2551', 'G2652', 'G2653', 'G2671', 'G2672', 'G6035']	* [1 Samuel 14:24-26](rc://en/tn/help/1sa/14/24)* [2 Peter 02:12-14](rc://en/tn/help/2pe/02/12)* [Galatians 03:10](rc://en/tn/help/gal/03/10)* [Galatians 03:14](rc://en/tn/help/gal/03/14)* [Genesis 03:14](rc://en/tn/help/gen/03/14)* [Genesis 03:17](rc://en/tn/help/gen/03/17)* [James 03:10](rc://en/tn/help/jas/03/10)* [Numbers 22:06](rc://en/tn/help/num/22/06)* [Psalms 109:28](rc://en/tn/help/psa/109/28)	09014024. 09014025. 09014026. 61002012. 61002013. 61002014. 48003010. 48003014. 01003014. 01003017. 59003010. 04022006. 19109028. 
51	daughterofzion	daughterofzion	daughter of Zion	सिय्योन की बेटी	['H1323', 'H6726']	['H1323', 'H6726']	* [Jeremiah 06:02](rc://en/tn/help/jer/06/02)* [John 12:15](rc://en/tn/help/jhn/12/15)* [Matthew 21:05](rc://en/tn/help/mat/21/05)	24006002. 43012015. 40021005. 
52	dayofthelord	dayofthelord	day of the Lord, day of Yahweh	प्रभु का दिन, यहोवा का दिन	['H3068', 'H3117', 'G2250', 'G2962']	['H3068', 'H3117', 'G2250', 'G2962']	* [1 Corinthians 05:05](rc://en/tn/help/1co/05/05)* [1 Thessalonians 05:02](rc://en/tn/help/1th/05/02)* [2 Peter 03:10](rc://en/tn/help/2pe/03/10)* [2 Thessalonians 02:02](rc://en/tn/help/2th/02/02)* [Acts 02:20-21](rc://en/tn/help/act/02/20)* [Philippians 01:9-11](rc://en/tn/help/php/01/09)	46005005. 52005002. 61003010. 53002002. 44002020. 44002021. 50001009. 50001010. 50001011. 
53	deacon	deacon	deacon, deacons	सेवक, सेवकों	['G1249']	['G1249']	* [1 Timothy 03:10](rc://en/tn/help/1ti/03/10)* [1 Timothy 03:13](rc://en/tn/help/1ti/03/13)* [Philippians 01:01](rc://en/tn/help/php/01/01)	54003010. 54003013. 50001001. 
54	demon	demon	demon, evil spirit, unclean spirit, demonic	दुष्टात्मा, दुष्ट आत्मा, अशुद्ध आत्मा	['H7307', 'H7451', 'H7700', 'G169', 'G1139', 'G1140', 'G1141', 'G1142', 'G4190', 'G4151']	['H2932', 'H7307', 'H7451', 'H7700', 'G169', 'G1139', 'G1140', 'G1141', 'G1142', 'G4190', 'G4151', 'G4152', 'G4189']	* [James 02:19](rc://en/tn/help/jas/02/19)* [James 03:15](rc://en/tn/help/jas/03/15)* [Luke 04:36](rc://en/tn/help/luk/04/36)* [Mark 03:22](rc://en/tn/help/mrk/03/22)* [Matthew 04:24](rc://en/tn/help/mat/04/24)	59002019. 59003015. 42004036. 41003022. 40004024. 
55	demonpossessed	demonpossessed	demon-possessed, possessed by a demon, possessed by demons	दुष्टात्माएँ थीं	['G1139']	['G1139']	* [Mark 01:32](rc://en/tn/help/mrk/01/32)* [Matthew 04:24](rc://en/tn/help/mat/04/24)* [Matthew 08:16](rc://en/tn/help/mat/08/16)* [Matthew 08:33](rc://en/tn/help/mat/08/33)	41001032. 40004024. 40008016. 40008033. 
56	disciple	disciple	disciple, disciples	चेला, चेले	['H3928', 'G3100', 'G3101', 'G3102']	['H3928', 'G3100', 'G3101', 'G3102']	* [Acts 06:1](rc://en/tn/help/act/06/01)* [Acts 09:26-27](rc://en/tn/help/act/09/26)* [Acts 11:26](rc://en/tn/help/act/11/26)* [Acts 14:22](rc://en/tn/help/act/14/22)* [John 13:23](rc://en/tn/help/jhn/13/23)* [Luke 06:40](rc://en/tn/help/luk/06/40)* [Matthew 11:03](rc://en/tn/help/mat/11/03)* [Matthew 26:33-35](rc://en/tn/help/mat/26/33)* [Matthew 27:64](rc://en/tn/help/mat/27/64)	44009026. 44009027. 44011026. 44014022. 43013023. 42006040. 40011003. 40026033. 40026034. 40026035. 40027064. 
57	discipline	discipline	discipline, disciplines, disciplined, self-discipline, no discipline	ताड़ना, ताड़ना देता, ताड़ना करते, आत्म संयम	['H3198', 'H3256', 'H4148', 'H7378', 'H8433', 'G812', 'G3809', 'G3810', 'G3811', 'G4995']	['H4148']	* [Ephesians 06:4](rc://en/tn/help/eph/06/4)* [Hebrews 12:05](rc://en/tn/help/heb/12/05)* [Proverbs 19:18](rc://en/tn/help/pro/19/18)* [Proverbs 23:13-14](rc://en/tn/help/pro/23/13)	58012005. 20019018. 20023013. 20023014. 
58	divine	divine	divine, divine nature	ईश्वरीय	['G2304', 'G2305']	['G2304', 'G2999']	* [2 Corinthians 10:3-4](rc://en/tn/help/2co/10/03)* [2 Peter 01:04](rc://en/tn/help/2pe/01/04)* [Romans 01:20](rc://en/tn/help/rom/01/20)	47010003. 47010004. 61001004. 45001020. 
59	dominion	dominion	dominion, subjugate, control	प्रभुता	['H4475', 'H4910', 'H4915', 'H7287', 'H7985', 'G2634', 'G2904', 'G2963']	['H1166', 'H4474', 'H4475', 'H4896', 'H4910', 'H4915', 'H7287', 'H7300', 'H7980', 'H7985', 'G2634', 'G2904', 'G2961', 'G2963']	* [1 Peter 05:10-11](rc://en/tn/help/1pe/05/10)* [Colossians 01:13](rc://en/tn/help/col/01/13)* [Jude 01:25](rc://en/tn/help/jud/01/25)	60005010. 60005011. 51001013. 65001025. 
60	elect	elect	elect, choose, chose, chosen, chosen one, chosen ones, chosen people, Chosen One	चुना हुआ, चुने हुए, चुनना, चुने लोग, चुना हुआ, चुनना।	['H972', 'H977', 'H1262', 'H1305', 'H4005', 'H6901', 'G138', 'G140', 'G1586', 'G1588', 'G1589', 'G1951', 'G3724', 'G4400', 'G4401', 'G4899', 'G5500']	['H970', 'H972', 'H977', 'H1254', 'H1262', 'H1305', 'H4005', 'H6901', 'G138', 'G140', 'G1586', 'G1588', 'G1589', 'G1951', 'G4400', 'G4401', 'G4758', 'G4899', 'G5500']	* [2 John 01:01](rc://en/tn/help/2jn/01/01)* [Colossians 03:12](rc://en/tn/help/col/03/12)* [Ephesians 01:3-4](rc://en/tn/help/eph/01/03)* [Isaiah 65:22-23](rc://en/tn/help/isa/65/22)* [Luke 18:07](rc://en/tn/help/luk/18/07)* [Matthew 24:19-22](rc://en/tn/help/mat/24/19)* [Romans 08:33](rc://en/tn/help/rom/08/33)	63001001. 51003012. 49001003. 49001004. 23065022. 23065023. 42018007. 40024019. 40024020. 40024021. 40024022. 45008033. 
61	ephod	ephod	ephod	एपोद	['H641', 'H642', 'H646']	['H641', 'H642', 'H646']	* [1 Samuel 02:18-19](rc://en/tn/help/1sa/02/18)* [Exodus 28:4-5](rc://en/tn/help/exo/28/04)* [Hosea 03:04](rc://en/tn/help/hos/03/04)* [Judges 08:27](rc://en/tn/help/jdg/08/27)* [Leviticus 08:07](rc://en/tn/help/lev/08/07)	09002018. 09002019. 02028004. 02028005. 28003004. 07008027. 03008007. 
62	eternity	eternity	eternity, everlasting, eternal, forever	सनातन, अनन्त, अनंत काल	['H3117', 'H4481', 'H5331', 'H5703', 'H5705', 'H5769', 'H5865', 'H5957', 'H6924', 'G126', 'G165', 'G166', 'G1336']	['H5703', 'H5769', 'H5957', 'H6924', 'G126', 'G165', 'G166']	* [Genesis 17:08](rc://en/tn/help/gen/17/08)* [Genesis 48:04](rc://en/tn/help/gen/48/04)* [Exodus 15:17](rc://en/tn/help/exo/15/17)* [2 Samuel 03:28-30](rc://en/tn/help/2sa/03/28)* [1 Kings 02:32-33](rc://en/tn/help/1ki/02/32)* [Job 04:20-21](rc://en/tn/help/job/04/20)* [Psalms 021:04](rc://en/tn/help/psa/021/04)* [Isaiah 09:6-7](rc://en/tn/help/isa/09/06)* [Isaiah 40:27-28](rc://en/tn/help/isa/40/27)* [Daniel 07:18](rc://en/tn/help/dan/07/18)* [Luke 18:18](rc://en/tn/help/luk/18/18)* [Acts 13:46](rc://en/tn/help/act/13/46)* [Romans 05:21](rc://en/tn/help/rom/05/21)* [Hebrews 06:19-20](rc://en/tn/help/heb/06/19)* [Hebrews 10:11-14](rc://en/tn/help/heb/10/11)* [1 John 01:02](rc://en/tn/help/1jn/01/02)* [1 John 05:12](rc://en/tn/help/1jn/05/12)* [Revelation 01:4-6](rc://en/tn/help/rev/01/04)* [Revelation 22:3-5](rc://en/tn/help/rev/22/03)	01017008. 01048004. 02015017. 10003028. 10003029. 10003030. 11002032. 11002033. 18004020. 18004021. 19021004. 23009006. 23009007. 23040027. 23040028. 27007018. 42018018. 44013046. 45005021. 58006019. 58006020. 58010011. 58010012. 58010013. 58010014. 62001002. 62005012. 66001004. 66001005. 66001006. 66022003. 66022004. 66022005. 
63	eunuch	eunuch	eunuch, eunuchs	खोजे, खोजों	['H5631', 'G2134', 'G2135']	['H5631', 'G2134', 'G2135']	* [Acts 08:27](rc://en/tn/help/act/08/27)* [Acts 08:36](rc://en/tn/help/act/08/36)* [Acts 08:39](rc://en/tn/help/act/08/39)* [Isaiah 39:7-8](rc://en/tn/help/isa/39/07)* [Jeremiah 34:17-19](rc://en/tn/help/jer/34/17)* [Matthew 19:12](rc://en/tn/help/mat/19/12)	44008027. 44008036. 44008039. 23039007. 23039008. 24034017. 24034018. 24034019. 40019012. 
64	evangelism	evangelism	evangelist, evangelists	सुसमाचार प्रचारक, सुसमाचार सुनानेवाले	['G2099']	['G2099']	* [2 Timothy 04:05](rc://en/tn/help/2ti/04/05)* [Ephesians 04:11-13](rc://en/tn/help/eph/04/11)	55004005. 49004011. 49004012. 49004013. 
65	evil	evil	evil, wicked, wickedness, wickedly	बुराई, दुष्ट, दुष्टता	['H205', 'H1100', 'H1681', 'H1942', 'H2154', 'H5765', 'H2162', 'H2254', 'H3399', 'H3415', 'H4209', 'H4849', 'H5753', 'H5766', 'H5767', 'H5999', 'H6090', 'H7451', 'H7455', 'H7489', 'H7561', 'H7562', 'H7563', 'H7564', 'G92', 'G93', 'G932', 'G987', 'G988', 'G2549', 'G2551', 'G2554', 'G2555', 'G2556', 'G2560', 'G2635', 'G2636', 'G4151', 'G4189', 'G4190', 'G4191', 'G5337']	['H205', 'H605', 'H1100', 'H1681', 'H1942', 'H2154', 'H2162', 'H2617', 'H3415', 'H4209', 'H4849', 'H5753', 'H5766', 'H5767', 'H5999', 'H6001', 'H6090', 'H7451', 'H7455', 'H7489', 'H7561', 'H7562', 'H7563', 'H7564', 'G92', 'G113', 'G459', 'G932', 'G987', 'G988', 'G1426', 'G2549', 'G2551', 'G2554', 'G2555', 'G2556', 'G2557', 'G2559', 'G2560', 'G2635', 'G2636', 'G4151', 'G4189', 'G4190', 'G4191', 'G5337']	* [1 Samuel 24:11](rc://en/tn/help/1sa/24/11)* [1 Timothy 06:10](rc://en/tn/help/1ti/06/10)* [3 John 01:10](rc://en/tn/help/3jn/01/10)* [Genesis 02:17](rc://en/tn/help/gen/02/17)* [Genesis 06:5-6](rc://en/tn/help/gen/06/05)* [Job 01:01](rc://en/tn/help/job/01/01)* [Job 08:20](rc://en/tn/help/job/08/20)* [Judges 09:57](rc://en/tn/help/jdg/09/57)* [Luke 06:22-23](rc://en/tn/help/luk/06/22)* [Matthew 07:11-12](rc://en/tn/help/mat/07/11)* [Proverbs 03:07](rc://en/tn/help/pro/03/07)* [Psalms 022:16-17](rc://en/tn/help/psa/022/016)	09024011. 54006010. 64001010. 01002017. 01006005. 01006006. 18001001. 18008020. 07009057. 42006022. 42006023. 40007011. 40007012. 20003007. 19022016. 19022017. 
